ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
5301,5106,19058651,2,25800.0
5301,5107,19089163,1,11500.0
5301,5108,19097405,1,36900.0
5321,5121,19089163,1,11500.0
5321,5122,19097402,1,17990.0
5321,5123,19102426,1,25900.0
5321,5124,59008117,2,41800.0
5321,5125,19097400,1,32900.0
5321,5127,19058651,2,25800.0
5321,5128,19097405,1,36900.0
5602,5424,19062784,1,4480.0
5603,5425,19078198,1,5250.0
5722,5524,59008209,1,39900.0
5723,5525,19110639,1,19000.0
5882,5624,19096340,1,5900.0
5883,5641,19063489,1,6790.0
6042,5782,59004535,1,29500.0
6163,5865,19067791,1,3290.0
6201,5922,19077105,1,9990.0
6321,6041,19072329,1,29900.0
6401,6121,59009438,1,20900.0
6401,6123,19091951,2,3150.0
6501,6221,19085404,1,7900.0
6561,6281,59010074,1,9900.0
6581,6301,19027078,2,780.0
6581,6303,19078392,2,2940.0
6581,6304,19109483,1,7350.0
6601,6321,59007253,1,31900.0
6601,6323,19110745,1,7630.0
6601,6324,19110756,1,16100.0
6601,6325,19110767,1,5600.0
6702,6409,59010272,1,19900.0
6702,6410,19027089,1,650.0
6702,6411,19077245,1,1495.0
6801,6461,59008384,1,25900.0
6941,6601,19112184,1,17900.0
6961,6621,59010046,1,14290.0
6981,6641,19072415,1,10900.0
6982,6643,19055520,1,14900.0
7025,6687,19055520,1,14900.0
7082,6742,19070054,1,10290.0
7181,6821,19086650,1,4900.0
7181,6822,19086651,1,3590.0
7181,6823,19086647,2,7600.0
7221,6861,19097933,2,4400.0
7261,6901,19086647,1,3800.0
7261,6902,19086660,1,5900.0
7481,7081,19038033,4,11600.0
7481,7082,19105351,1,6900.0
7501,7101,19067853,1,12500.0
7701,7302,19077271,1,11900.0
7702,7303,19093389,1,14250.0
7702,7304,19086651,1,3590.0
7721,7321,25016979,6,2940.0
7821,7421,19111300,1,3010.0
7821,7422,19077275,1,2390.0
7901,7501,19097866,1,3990.0
8084,7685,59004534,1,31900.0
8141,7725,19112396,1,2380.0
8141,7726,19090823,1,4590.0
8161,7741,59002916,1,17550.0
8163,7743,59002916,1,17550.0
8221,7802,19076889,1,2240.0
8221,7803,59008874,2,11380.0
8221,7804,19076887,1,1610.0
8227,7811,59004534,1,31900.0
8281,7818,19045725,1,6650.0
8281,7819,19110736,2,39810.0
8401,7901,19077863,1,7900.0
8461,7961,19086637,1,10900.0
8461,7962,19085620,1,7350.0
8542,8042,19090204,1,2790.0
8661,8161,59010276,1,22900.0
8741,8241,19081402,1,12750.0
8881,8363,19071518,1,1680.0
8901,8381,59010269,1,20900.0
8902,8382,59010269,1,20900.0
8903,8383,59006710,1,27900.0
8941,8422,19097923,1,5500.0
8941,8423,19071520,1,1750.0
8941,8424,19112184,1,17900.0
8941,8426,59010271,1,19900.0
2101,2101,59008282,1,4500.0
2102,2102,25017431,1,399.0
2141,2141,19067854,1,12500.0
2161,2161,19067854,1,12500.0
2181,2181,19097400,1,32900.0
2181,2182,19097405,1,36900.0
2181,2183,19045725,1,6650.0
2181,2184,19090283,1,38900.0
2181,2185,19093314,1,11590.0
2181,2186,19089163,1,11500.0
2181,2187,59008117,1,20900.0
2181,2188,19097402,1,17990.0
2461,2404,19045725,1,6650.0
2461,2405,19097657,3,8100.0
2521,2461,19035027,1,6240.0
2541,2481,19086648,1,6900.0
2541,2482,19086655,1,3490.0
2601,2521,19106901,1,6900.0
2681,2601,19037397,1,4760.0
2701,2621,25017512,1,1500.0
2701,2622,25017510,1,1500.0
2821,2741,59008825,1,28900.0
2841,2761,59008825,1,28900.0
2881,2801,25017475,2,980.0
3021,2941,19105354,50,114500.0
3042,2962,59006456,1,15900.0
3061,2981,59008124,1,23900.0
3161,3081,19110855,1,19900.0
3201,3121,19027676,1,7350.0
