,ID,MATNR,IMAGE_URL
142,"32,333",25009300,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009300_NMI500426-IT-SBDS-Home Decoration-84128-Decorative-Vintage_A_A4.jpg
143,"29,889",19051558,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19051558_TMPN100198-IT-SB-Living-Rubik100198-Shelf-Modern Italian_A_A4.jpg
144,"23,644",19045723,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19045723_TMPN300094-IT-KC-Livingroom-Maximus-WC030DHO-Modernl_A_A4.jpg
145,"23,961",59000030,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000030_TMPN100013-RT-SB-Bedroom-Palazzo- Modern Contemporary_A_A4.jpg
146,"31,040",25009673,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009673_NMI500362-IT-SBDS-Home Decoration-DE2634-Wood Trunks-Vintage_A_A4.jpg
147,"22,309",19030664,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030664_TMP500050-IT-SBDS-Home Decoration-GF08050-Vase-Modern_A_A4.jpg
148,"29,866",59001792,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001792_TMPN300162-RT-KC-Kitchen-Contrino 1.60-Contemporary_A_A4.jpg
149,"29,900",59001672,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001672_TMPN300161-RT-KC-Kitchen-Contrino 1.50-Contemporary_A_A4.jpg
150,"29,902",59001790,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001790_TMPN300160-RT-KC-Kitchen-Contrino 1.20-Contemporary_A_A4.jpg
151,"29,911",19051557,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19051557_TMPN100201-IT-SB-Living-Rubik100201-Partition-Modern Italian_A_A4.jpg
152,"24,802",19050250,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050250_TMPN500401-IT-SBDS-Home Decoration-YA-H86094A-Photo frame-Modern_A_A4.jpg
153,"24,803",19050246,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050246_TMPN500393-IT-SBDS-Home Decoration-YA-H92918D-MDF photo frame-Modern_A_A4.jpg
154,"24,905",19052064,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19052064_TMPN200257-IT-SBDS-Diningroom-Kaan-Stool-Ecolism_A_A4.jpg
155,"32,388",25009320,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009320_NMI500430-IT-SBDS-Home Decoration-58005-Box Set-Vintage_A_A4.jpg
