"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"3,711","4,409","19112395",,,MDM_CYBER,
"3,712","4,409","59008643",,,MDM_CYBER,
"3,713","4,409","59007902",,,MDM_CYBER,
"3,722","4,432","59008876",,,MDM_CYBER,
"3,723","4,432","59007677",,,MDM_CYBER,
"3,724","4,432","59004870",,,MDM_CYBER,
"3,743","4,582","59008884",,,MDM_CYBER,
"3,745","4,582","19041970",,,MDM_CYBER,
"3,783","4,703","19055861",,,MDM_CYBER,
"3,883","5,006","19051008",,,MDM_CYBER,
"3,903","5,006","19047436",,,MDM_CYBER,
"4,008","5,145","19091003",,,MDM_CYBER,
"4,009","5,147",,"2,221",,INSPIRATION,
"4,022","5,165","19031434",,,MDM_CYBER,
"4,025","5,165","19077425",,,MDM_CYBER,
"4,026","5,167","19042355",,,MDM_CYBER,
"4,044","5,344","19062783",,,MDM_CYBER,
"4,082","5,360","25016067",,,MDM_CYBER,
"4,083","5,366","59008860",,,MDM_CYBER,
"4,085","5,366","59008495",,,MDM_CYBER,
"4,088","5,366","59006738",,,MDM_CYBER,
"4,090","5,344","25015904",,,MDM_CYBER,
"4,122","5,729",,"2,221",,INSPIRATION,
"4,183","5,842","19101652",,,MDM_CYBER,
"4,185","5,842","19109483",,,MDM_CYBER,
"4,204","5,859",,"2,021",,INSPIRATION,
"4,206","5,859",,141,,INSPIRATION,
"4,302","6,045","19097827",,,MDM_CYBER,
"4,362","6,221","19098014",,,MDM_CYBER,
"4,363","6,221","19077272",,,MDM_CYBER,
"4,364","6,221","19097836",,,MDM_CYBER,
"4,365","6,221","19086673",,,MDM_CYBER,
"4,366","6,221","19026148",,,MDM_CYBER,
"4,368","6,221","19068842",,,MDM_CYBER,
"4,483","3,381","19036586",,,MDM_CYBER,
"4,590","6,553","25017624",,,MDM_CYBER,
"4,593","6,553","25017716",,,MDM_CYBER,
"4,594","6,553","25017713",,,MDM_CYBER,
"4,628","6,562","19111282",,,MDM_CYBER,
"4,642","6,582",,"2,341",,INSPIRATION,
"4,663","6,586","19108378",,,MDM_CYBER,
"4,664","6,586","19108379",,,MDM_CYBER,
"4,666","6,586","19088106",,,MDM_CYBER,
"4,687","6,640","19105351",,,MDM_CYBER,
"4,693","6,640","25015042",,,MDM_CYBER,
"4,724","6,820","59004357",,,MDM_CYBER,
"4,762","6,886","19036592",,,MDM_CYBER,
"4,768","6,886","19091953",,,MDM_CYBER,
"4,783","6,886","19036586",,,MDM_CYBER,
"4,843","7,210","19108378",,,MDM_CYBER,
"4,844","7,210","19040787",,,MDM_CYBER,
"4,847","7,210","19026574",,,MDM_CYBER,
"4,924","7,229",,"2,281",,INSPIRATION,
"4,926","7,346","19101651",,,MDM_CYBER,
"4,927","7,346","19101654",,,MDM_CYBER,
"4,942","7,346","19036586",,,MDM_CYBER,
"4,945","7,346","19070065",,,MDM_CYBER,
"4,946","7,346","19036592",,,MDM_CYBER,
"4,962","7,346","19000898",,,MDM_CYBER,
"5,002","3,542","19087091",,,MDM_CYBER,
"5,022","7,496","19098015",,,MDM_CYBER,
"5,042","3,381","19071521",,,MDM_CYBER,
"5,065","7,622","19042803",,,MDM_CYBER,
"5,066","7,622","19077467",,,MDM_CYBER,
"5,067","7,622","19042768",,,MDM_CYBER,
"5,068","7,622","19089936",,,MDM_CYBER,
"5,144","7,721","59006858",,,MDM_CYBER,
"5,202","7,883","19101644",,,MDM_CYBER,
"5,204","7,883","19109279",,,MDM_CYBER,
"5,302","8,523","19035028",,,MDM_CYBER,
"5,304","8,523","19025908",,,MDM_CYBER,
"5,362","8,561",,"2,421",,INSPIRATION,
"5,402","8,705","19096191",,,MDM_CYBER,
"5,405","8,707","19112395",,,MDM_CYBER,
"5,507","8,905",,,,PHOTO,"2,171"
"5,562","9,059",,"2,144",,INSPIRATION,
"5,607","9,125","19077059",,,MDM_CYBER,
"5,689","9,269","19023875",,,MDM_CYBER,
"5,705","9,060","19100903",,,MDM_CYBER,
"5,722","9,341","19090396",,,MDM_CYBER,
"5,727","9,341","19096155",,,MDM_CYBER,
"5,728","9,341","19023831",,,MDM_CYBER,
"5,743","9,363","19047476",,,MDM_CYBER,
"5,745","9,363","19077090",,,MDM_CYBER,
"5,843","9,501","19077732",,,MDM_CYBER,
"5,844","9,501","19047100",,,MDM_CYBER,
"5,882","9,584","59006514",,,MDM_CYBER,
"5,984","10,101","59006548",,,MDM_CYBER,
"5,989","10,101","59004534",,,MDM_CYBER,
"6,011","10,162","19110908",,,MDM_CYBER,
"6,012","10,162","19051485",,,MDM_CYBER,
"6,026","10,305","59008452",,,MDM_CYBER,
"6,027","10,305","59008127",,,MDM_CYBER,
"6,044","10,329","19070060",,,MDM_CYBER,
"6,122","10,462",,,,PHOTO,"2,821"
"6,143","10,464","59006710",,,MDM_CYBER,
"6,148","10,464","59008126",,,MDM_CYBER,
"6,150","10,464","59007711",,,MDM_CYBER,
"6,164","10,660","59006738",,,MDM_CYBER,
"6,167","10,668",,"2,381",,INSPIRATION,
"6,202","10,734","59000365",,,MDM_CYBER,
"6,244","10,781","59001218",,,MDM_CYBER,
"6,262","10,807","59000383",,,MDM_CYBER,
"6,264","10,807","59008126",,,MDM_CYBER,
"6,268","10,807","59003298",,,MDM_CYBER,
"6,272","10,807","59006509",,,MDM_CYBER,
"6,273","10,807","59002903",,,MDM_CYBER,
"6,343","10,823","59006456",,,MDM_CYBER,
"6,344","10,823","59000141",,,MDM_CYBER,
"6,347","10,823","19111092",,,MDM_CYBER,
"6,362","10,807","19067908",,,MDM_CYBER,
"6,363","10,807","19097332",,,MDM_CYBER,
"6,364","10,807","19084943",,,MDM_CYBER,
"6,402","10,941",,"2,365",,INSPIRATION,
"6,403","10,941",,"2,341",,INSPIRATION,
